locationId, locationLabel, locationLat, locationLng, tweetId, tweetTime, userId, tweetLat, tweetLng
8438359, Kana, 39.41658,141.06536, 1301892037, 2011-04-04 05:40:37,hash_jisin,34.341801,132.906998
2130142, Harako, 40.76441,140.52717, 1300476831, 2011-03-18 19:33:51,radish_tw,0.000000,0.000000
1849357, Uka, 26.80847,128.23407, 1302552469, 2011-04-11 21:07:49,fa9a,39.286800,141.113007
8311339, Naka, 38.4536,141.25673, 1302552469, 2011-04-11 21:07:49,fa9a,39.286800,141.113007
8438359, Kana, 39.41658,141.06536, 1302552469, 2011-04-11 21:07:49,fa9a,39.286800,141.113007
8576427, Ishiwara, 35.65262,139.52999, 1302552469, 2011-04-11 21:07:49,fa9a,39.286800,141.113007
1850147, Tokyo, 35.6895,139.69171, 1302552469, 2011-04-11 21:07:49,fa9a,39.286800,141.113007
9115417, Fukushima, 36.01992,138.11871, 1300683395, 2011-03-21 04:56:35,tartvpf,0.000000,0.000000
8997523, Zōne, 37.27459,139.93643, 1300683395, 2011-03-21 04:56:35,tartvpf,0.000000,0.000000
8572458, Kake, 35.97115,139.68486, 1302496430, 2011-04-11 05:33:50,rucolita,35.668098,139.772995
9116946, Fukujima, 36.64338,138.26591, 1302496430, 2011-04-11 05:33:50,rucolita,35.668098,139.772995
2128363, Sai, 41.43019,140.86429, 1302496430, 2011-04-11 05:33:50,rucolita,35.668098,139.772995
2129200, Miyagi, 43.33333,144.36667, 1300309293, 2011-03-16 21:01:33,shigtom,0.000000,0.000000
9116946, Fukujima, 36.64338,138.26591, 1300309293, 2011-03-16 21:01:33,shigtom,0.000000,0.000000
8554392, Kawara, 40.17984,141.15674, 1300309293, 2011-03-16 21:01:33,shigtom,0.000000,0.000000
2111149, Sendai-shi, 38.26889,140.87194, 1300309293, 2011-03-16 21:01:33,shigtom,0.000000,0.000000
9115417, Fukushima, 36.01992,138.11871, 1327660054, 2012-01-27 10:27:34,442694470,0.000000,0.000000
8507125, Fukushima, 40.67996,140.56261, 1327660054, 2012-01-27 10:27:34,442694470,0.000000,0.000000
1861802, Ikebukuro Eki, 35.7302,139.71134, 1327660054, 2012-01-27 10:27:34,442694470,0.000000,0.000000
8437405, Shima, 39.32538,141.20916, 1327660054, 2012-01-27 10:27:34,442694470,0.000000,0.000000
8528028, Dake, 40.26218,141.40199, 1301454783, 2011-03-30 04:13:03,totoron08,35.678799,139.740005
